name,desc,vibes
Boho Breeze Maxi Dress,"A flowy maxi dress with earthy tones, embroidery, and tassels—perfect for festivals and sunset picnics.","['boho', 'free-spirited', 'earthy', 'festival']"
City Sprint Sneakers,Sleek low-profile sneakers with reflective accents—built for fast urban commutes and nightlife.,"['urban', 'energetic', 'sporty', 'streetwear']"
Minimalist Monochrome Blazer,"Clean lines, matte finish, and sharp structure in black—elegant minimalism for modern offices.","['minimal', 'monochrome', 'chic', 'office']"
Cozy Knit Cardigan,"Oversized knit with soft texture and warm neutrals—designed for comfort, reading nooks, and coffee dates.","['cozy', 'warm', 'soft', 'casual']"
Tech Utility Cargo Pants,Water-resistant cargo trousers with zip pockets and articulated knees—functional style for city explorers.,"['utility', 'techwear', 'urban', 'functional']"
Pastel Street Hoodie,"Relaxed fit hoodie in washed pastel palette—youthful, playful, and made for weekend hangouts.","['streetwear', 'playful', 'casual', 'color-pop']"
Vintage Denim Jacket,Faded indigo denim with contrast stitching—timeless throwback for concerts and road trips.,"['vintage', 'retro', 'casual', 'classic']"
Scandi Wool Overcoat,Structured wool overcoat with hidden placket and crisp silhouette—subtle luxury for winter days.,"['scandi', 'minimal', 'luxury', 'elegant']"
Athleisure Air Leggings,Breathable high-stretch leggings with mesh panels—gym-to-brunch comfort with a polished look.,"['athleisure', 'sporty', 'comfortable', 'polished']"
Cottagecore Midi Skirt,Soft floral midi with ruffle hem—romantic countryside mood for picnics and farm markets.,"['cottagecore', 'romantic', 'soft', 'floral']"
